Stock lable_2017,Stock code_pre 2017,Full name_2017,New advice in 2017,Species Common Name,Book Number 2015,Section number 2016,Alphabet,Placeholder,Superheaders
her.27.6a7bc,her-67bc,"Herring (Clupea harengus) in divisions 6.a and 7.b?c (West of Scotland, West of Ireland)",x,Herring,5,5.3.33,herring,,
rng.27.3a,rng-kask,Roundnose grenadier (Coryphaenoides rupestris) in Division 3.a (Skagerrak and Kattegat),,Roundnose grenadier,9,9.3.28,grenadier roundnose,Placeholder,
,oth-comb,,,,,,,,
pra.27.1-2,pan-barn,Northern shrimp (Pandalus borealis) in subareas 1 and 2 (Northeast Arctic),x,Northern shrimp,3,3.3.7,Northern shrimp,,
nep.fu.33,nep-33,"Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 33 (central North Sea, Horn?s Reef)",,Norway lobster,6,6.3.30,Norway lobster,Placeholder,
nep.fu.34,nep-34,"Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 34 (central North Sea, Devil?s Hole)",,Norway lobster,6,6.3.31,Norway lobster,Placeholder,
her.27.31,her-31,Herring (Clupea harengus) in Subdivision 31 (Bothnian Bay),x,Herring,8,8.3.13,herring,,
,ple-2232,,,,,,,,
her.27.28,her-riga,Herring (Clupea harengus) in Subdivision 28.1 (Gulf of Riga),x,Herring,8,8.3.11,herring,,
her.27.irls,her-irls,"Herring (Clupea harengus) in divisions 7.a South of 52ø30?N, 7.g?h, and 7.j?k (Irish Sea, Celtic Sea, and southwest of Ireland)",x,Herring,5,5.3.32,herring,,
her.27.nirs,her-nirs,Herring (Clupea harengus) in Division 7.a North of 52ø30?N (Irish Sea),x,Herring,5,5.3.31,herring,,
sho.27.89a,sho-89a,Black-mouth dogfish (Galeus melastomus) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters),x,Black-mouth dogfish,7,7.3.6,elasmobranch,,add elasmobranch superheader above
lez.27.4a6a,meg-4a6a,"Megrim (Lepidorhombus ssp.) in divisions 4.a and 6.a (northern North Sea, West of Scotland)",x,Megrim,5,5.3.35,megrim four spot and wifi,,
nep.fu.3-4,nep-3-4,"Norway lobster (Nephrops norvegicus) in Division 3.a, Functional units 3 and 4 (Skagerrak and Kattegat)",x,Norway lobster,6,6.3.23,Norway lobster,,
lez.27.6b,meg-rock,Megrim (Lepidorhombus ssp.) in Division 6.b (Rockall),,Megrim,5,5.3.34,megrim four spot and wifi,Placeholder,add megrim superheader above
meg.27.7b-k8abd,mgw-78,"Megrim (Lepidorhombus whiffiagonis) in divisions 7.b?k, 8.a?b, and 8.d (west and southwest of Ireland, Bay of Biscay)",x,Megrim,5,5.3.36,megrim wifi,,
,ple-kask,,,,,,,,
nep.fu.5,nep-5,"Norway lobster (Nephrops norvegicus) in divisions 4.b and 4.c, Functional Unit 5 (central and southern North Sea, Botney Gut?Silver Pit)",,Norway lobster,6,6.3.33,Norway lobster,Placeholder,
,ple-skag,,,,,,,,
syc.27.8c9a,syc-8c9a,Lesser-spotted dogfish (Scyliorhinus canicula) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters) ,x,Lesser-spotted dogfish,7,7.3.12,elasmobranch,,
nep.fu.11,nep-11,"Norway lobster (Nephrops norvegicus) in Division 6.a, Functional Unit 11 (West of Scotland, North Minch)",,Norway lobster,5,5.3.37,Norway lobster,Placeholder,
nep.fu.6,nep-6,"Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 6 (central North Sea, Farn Deeps)",x,Norway lobster,6,6.3.32,Norway lobster,,
rng.27.1245a8914ab,rng-oth,"Roundnose grenadier (Coryphaenoides rupestris) in subareas 1, 2, 4, 8, and 9, Division 14.a, and in subdivisions 14.b.2 and 5.a.2 (Northeast Atlantic and Arctic Ocean)",x,Roundnose grenadier,9,9.3.30,grenadier roundnose,,
nep.fu.7,nep-7,"Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 7 (northern North Sea, Fladen Ground)",x,Norway lobster,6,6.3.27,Norway lobster,,
syc.27.8abd,syc-bisc,Lesser-spotted dogfish (Scyliorhinus canicula) in divisions 8.a?b and 8.d (Bay of Biscay),x,Lesser-spotted dogfish,7,7.3.11,elasmobranch,,
nep.fu.12,nep-12,"Norway lobster (Nephrops norvegicus) in Division 6.a, Functional Unit 12 (West of Scotland, South Minch)",,Norway lobster,5,5.3.38,Norway lobster,Placeholder,
gur.27.3-8,gur-comb,Red gurnard (Chelidonichthys cuculus) in subareas 3?8 (Northeast Atlantic),x,Red gurnard,9,9.3.31,gurnard red,,add gurnard superheader above
hke.27.3a46-8abd,hke-nrtn,"Hake (Merluccius merluccius) in subareas 4, 6, and 7, and in divisions 3.a, 8.a?b, and 8.d, Northern stock (Greater North Sea, Celtic Seas, and the northern Bay of Biscay)",x,Hake,9,9.3.32,hake,,
her.27.1-254a14a,her-noss,"Herring (Clupea harengus) in subareas 1, 2, 5 and divisions 4.a and 14.a, Norwegian spring-spawning herring (the Northeast Atlantic and Arctic Ocean)",x,Herring,9,9.3.33,herring,,
nep.fu.8,nep-8,"Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 8 (central North Sea, Firth of Forth)",x,Norway lobster,6,6.3.28,Norway lobster,,
,rjb-347d,,,,,,,,
hke.27.8c9a,hke-soth,"Hake (Merluccius merluccius) in divisions 8.c and 9.a, Southern stock (Cantabrian Sea and  Atlantic Iberian waters)",x,Hake,7,7.3.21,hake,,
nep.fu.13,nep-13,"Norway lobster (Nephrops norvegicus) in Division 6.a, Functional Unit 13 (West of Scotland, the Firth of Clyde and Sound of Jura)",,Norway lobster,5,5.3.39,Norway lobster,Placeholder,
nep.fu.9,nep-9,"Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 9 (central North Sea, Moray Firth)",x,Norway lobster,6,6.3.29,Norway lobster,,
,rjc-347de,,,,,,,,
nep.fu.14,nep-14,"Norway lobster (Nephrops norvegicus) in Division 7.a, Functional Unit 14 (Irish Sea, East)",,Norway lobster,5,5.3.41,Norway lobster,Placeholder,
hom.27.9a,hom-soth,Horse mackerel (Trachurus trachurus) in Division 9.a (Atlantic Iberian waters),x,Horse mackerel,7,7.3.22,horse mackerel,,
nep.fu.15,nep-15,"Norway lobster (Nephrops norvegicus) in Division 7.a, Functional Unit 15 (Irish Sea, West)",,Norway lobster,5,5.3.42,Norway lobster,Placeholder,
mgb.27.8c9a,mgb-8c9a,Four-spot megrim (Lepidorhombus boscii) in divisions 8.c and 9.a (southern Bay of Biscay and Atlantic Iberian waters East),x,Four-spot megrim,7,7.3.23,megrim four spot,,
nep.fu.16,nep-16,"Norway lobster (Nephrops norvegicus) in divisions 7.b?c and 7.j?k, Functional Unit 16 (west and southwest of Ireland, Porcupine Bank)",,Norway lobster,5,5.3.45,Norway lobster,Placeholder,
nep.fu.17,nep-17,"Norway lobster (Nephrops norvegicus) in Division 7.b, Functional Unit 17 (west of Ireland, Aran grounds)",,Norway lobster,5,5.3.44,Norway lobster,Placeholder,
nep.fu.19,nep-19,"Norway lobster (Nephrops norvegicus) in divisions 7.a, 7.g, and 7.j, Functional Unit 19 (Irish Sea, Celtic Sea, eastern part of southwest of Ireland)",,Norway lobster,5,5.3.43,Norway lobster,Placeholder,
nep.fu.2021,nep-2021,"Norway lobster (Nephrops norvegicus) in divisions 7.g and 7.h, functional units 20 and 21 (Celtic Sea)",,Norway lobster,5,5.3.47,Norway lobster,Placeholder,
nep.fu.22,nep-22,"Norway lobster (Nephrops norvegicus) in divisions 7.g and 7.f, Functional Unit 22 (Celtic Sea, Bristol Channel)",,Norway lobster,5,5.3.46,Norway lobster,Placeholder,
nep.27.4out,nep-oth-4,"Norway lobster (Nephrops norvegicus) in Subarea 4, outside the functional units (North Sea)",x,Norway lobster,6,6.3.24,Norway lobster,,
,rjh-4c7de,,,,,,,,
nep.27.6aout,nep-oth-6a,"Norway lobster (Nephrops norvegicus) in Division 6.a, outside the functional units (West of Scotland)",x,Norway lobster,5,5.3.40,Norway lobster,,
nep.27.7out,nep-oth-7,"Norway lobster (Nephrops norvegicus) in Subarea 7, outside the functional units (southern Celtic Seas, southwest of Ireland)",x,Norway lobster,5,5.3.48,Norway lobster,,
meg.27.8c9a,mgw-8c9a,Megrim (Lepidorhombus whiffiagonis) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters),x,Megrim,7,7.3.24,megrim wifi,,
,rjh-VI,,,,,,,,
nop.27.6a,nop-scow,Norway pout (Trisopterus esmarkii) in Division 6.a,,Norway pout,5,5.3.49,Norway pout,Placeholder,
nop.27.3a4,nop-34-oct,"Norway pout (Trisopterus esmarkii) in Subarea 4 and Division 3.a, October advice (North Sea, Skagerrak and Kattegat)",x,Norway pout,6,6.3.34,Norway pout,,
ple.27.7bc,ple-7b-c,Plaice (Pleuronectes platessa) in divisions 7.b?c (West of Ireland),x,Plaice,5,5.3.52,plaice,,
ple.27.7h?k,ple-7h-k,"Plaice (Pleuronectes platessa) in divisions 7h?k (Celtic Sea South, southwest of Ireland)",x,Plaice,5,5.3.54,plaice,,
,rjm-7afg,,,,,,,,
nep.fu.2324,nep-2324,"Norway lobster (Nephrops norvegicus) in divisions 8.a and 8.b, functional units 23?24 (northern and central Bay of Biscay) ",,Norway lobster,7,7.3.30,Norway lobster,Placeholder,
nep.fu.25,nep-25,"Norway lobster (Nephrops norvegicus) in Division 8.c, Functional Unit 25 (southern Bay of Biscay and northern Galicia)",,Norway lobster,7,7.3.25,Norway lobster,Placeholder,
,rjm-VI,Spotted ray (Raja montagui) in ,,Spotted ray,,,elasmobranch,,
ple.27.7d,ple-eche,Plaice (Pleuronectes platessa) in Division 7.d (eastern English Channel),x,Plaice,6,6.3.35,plaice,,
,rjn-347d,,,,,,,,
ple.27.7fg,ple-celt,"Plaice (Pleuronectes platessa) in divisions 7.f and 7.g (Bristol Channel, Celtic Sea)",x,Plaice,5,5.3.53,plaice,,
nep.fu.2627,nep-2627,"Norway lobster (Nephrops norvegicus) in Division 9.a, functional units 26?27 (Atlantic Iberian waters East, western Galicia, and northern Portugal)",,Norway lobster,7,7.3.28,Norway lobster,Placeholder,
,rjn-bisc,,,,,,,,
,rjn-celt,,,,,,,,
nep.fu.2829,nep-2829,"Norway lobster (Nephrops norvegicus) in Division 9.a, functional units 28?29 (Atlantic Iberian waters East and southwestern and southern Portugal)",x,Norway lobster,7,7.3.29,Norway lobster,,
ple.27.420,ple-nsea,Plaice (Pleuronectes platessa) in  Subarea 4 (North Sea) and Subdivision 20 (Skagerrak),x,Plaice,6,6.3.36,plaice,,
,rjr-347d,,,,,,,,
ple.27.7e,ple-echw,Plaice (Pleuronectes platessa) in Division 7.e (western English Channel),x,Plaice,5,5.3.51,plaice,,
,rju-7j,,,,,,,,
nep.fu.30,nep-30,"Norway lobster (Nephrops norvegicus) in Division 9.a, Functional Unit 30 (Atlantic Iberian waters East and Gulf of Cadiz)",x,Norway lobster,7,7.3.27,Norway lobster,,
nep.fu.31,nep-31,"Norway lobster (Nephrops norvegicus) in Division 8.c, Functional Unit 31 (southern Bay of Biscay and Cantabrian Sea)",,Norway lobster,7,7.3.26,Norway lobster,Placeholder,
ple.27.89a,ple-89a,Plaice (Pleuronectes platessa) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters),x,Plaice,7,7.3.31,plaice,,
ple.27.7a,ple-iris,Plaice (Pleuronectes platessa) in Division 7.a (Irish Sea),x,Plaice,5,5.3.50,plaice,,
hom.27.2a4a5b6a7a-ce-k8,hom-west,"Horse mackerel (Trachurus trachurus) in Subarea 8 and divisions 2.a, 4.a, 5.b, 6.a, 7.a?c,e?k (the Northeast Atlantic)",x,Horse mackerel,9,9.3.34,horse mackerel,,
pol.27.3a4,pol-nsea,"Pollack (Pollachius pollachius) in Subarea 4 and Division 3.a (North Sea, Skagerrak and Kattegat)",,Pollack,6,6.3.37,pollack,Placeholder,
,rng-comb,,,,,,,,
lin.27.1-2,lin-arct,Ling (Molva molva) in subareas 1 and 2 (Northeast Arctic),x,Ling,9,9.3.37,ling,,
lin.27.5b,lin-faro,Ling (Molva molva) in Division 5.b (Faroes grounds),x,Ling,9,9.3.36,ling,,
,rsg-nea,Roughsnout grenadier (Trachyrincus scabrus) in ,,,9,,,,
pok.27.3a46,sai-3a46,"Saithe (Pollachius virens) in subareas 4?5 and Division 3.a (North Sea, Rockall and West of Scotland, Skagerrak and Kattegat)",x,Saithe,6,6.3.38,saithe,,
pok.27.1-2,sai-arct,Saithe (Pollachius virens) in subareas 1 and 2 (Northeast Arctic),x,Saithe,3,3.3.10,saithe,,
pok.27.5b,sai-faro,Saithe (Pollachius virens) in Division 5.b (Faroes grounds),x,Saithe,4,4.3.4,saithe,,
pok.27.5a,sai-icel,Saithe (Pollachius virens) in Division 5.a (Iceland grounds),x,Saithe,2,2.3.15,saithe,,
ple.27.21-23,ple-2123,"Plaice (Pleuronectes platessa) in subdivisions 21?23 (Kattegat, Belt Seas, and the Sound)",x,Plaice,8,8.3.15,plaice,,
ple.27.24-32,ple-2432,"Plaice (Pleuronectes platessa) in subdivisions 24?32 (Baltic Sea, excluding the Sound and Belt Seas)",x,Plaice,8,8.3.16,plaice,,
sal.21.0-6,sal-na,Atlantic salmon (Salmo salar) from NAFO divisions 2-6 with migrations into NAFO divisions 0-6 and some into ICES area 27 (of Atlantic North American origin),,Salmon,10,10.3.1,Atlantic salmon,Placeholder,
sal.27.1-24a512a14,sal-neac,"Atlantic salmon (Salmo salar) from ICES areas 1-2, 4-9 & 14, with some migration into NAFO divisions 0-6 (of Atlantic North and Western European origin)",,Salmon,10,10.3.3,Atlantic salmon,Placeholder,
sal.2127.1a-f14,sal-wgc,"Atlantic salmon (Salmo salar) from ICES areas 1-2, 4-9 & 14 and NAFO divisions 2-6, being fished in NAFO Division 1 and ICES area 14 (of North America and North and Western European origin)",x,Salmon,10,10.3.2,Atlantic salmon,,
san.sa.1,san-ns1,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 1 (central and southern North Sea, Dogger Bank)",x,Sandeel,6,6.3.44,sandeel,,
san.sa.2,san-ns2,"Sandeel (Ammodytes spp.) in divisions 4.b and 4.c, Sandeel Area 2 (central and southern North Sea)",x,Sandeel,6,6.3.45,sandeel,,
san.sa.3,san-ns3,"Sandeel (Ammodytes spp.) in divisions 3.a, 4.a, and 4.b, Sandeel Area 3 (Skagerrak and Kattegat, northern and central North Sea)",x,Sandeel,6,6.3.42,sandeel,,
san.sa.4,san-ns4,"Sandeel (Ammodytes spp.) in divisions 4.a and 4.b, Sandeel Area 4 (northern and central North Sea)",x,Sandeel,6,6.3.43,sandeel,,
san.sa.5,san-ns5,"Sandeel (Ammodytes spp.) in Division 4.a, Sandeel Area 5 (northern North Sea, Viking and Bergen banks)",,Sandeel,6,6.3.40,sandeel,Placeholder,
san.sa.6,san-ns6,"Sandeel (Ammodytes spp.) in Subdivision 21, Sandeel Area 6 (Kattegat)",x,Sandeel,6,6.3.39,sandeel,,
san.sa.7,san-ns7,"Sandeel (Ammodytes spp.) in Division 4.a, Sandeel Area 7 (northern North Sea, Shetland)",,Sandeel,6,6.3.41,sandeel,Placeholder,
pol.27.67,pol-celt,Pollack (Pollachius pollachius) in subareas 6?7 (Celtic Seas and the English Channel) ,x,Pollack,5,5.3.55,pollack,,
pol.27.89a,pol-89a,Pollack (Pollachius pollachius) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters),x,Pollack,7,7.3.32,pollack,,
pil.27.78abd,sar-78,"Sardine (Sardina pilchardus) in divisions 8.a?b and 8.d and in Subarea 7 (Bay of Biscay, southern Celtic Seas, and the English Channel)",x,Sardine,7,7.3.33,sardine,,
lin.27.5a,lin-icel,Ling (Molva molva) in Division 5.a (Iceland grounds),x,Ling,9,9.3.35,ling,,
,sbr-comb,,,,,,,,
lin.27.3a4a6-91214,lin-oth,"Ling (Molva molva) in subareas 6-9, 12, and 14, and in in divisions 3.a and 4.a (Northeast Atlantic and Arctic Ocean)",x,Ling,9,9.3.38,ling,,
mac.27.nea,mac-nea,"Mackerel (Scomber scombrus) in subareas 1-7 and 14 and divisions 8.a-e,9.a (the Northeast Atlantic and adjacent waters)",x,Mackerel,9,9.3.39,mackerel,,
ory.27.nea,ory-comb,"Orange roughy (Hoplostethus atlanticus) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",,Orange roughy,9,9.3.40,orange roughy,Placeholder,
pil.27.8c9a,sar-soth,Sardine (Sardina pilchardus) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters),x,Sardine,7,7.3.34,sardine,,
san.27.6a,san-scow,Sandeel (Ammodytes spp.) in  Division 6.a (West of Scotland),,Sandeel,5,5.3.56,sandeel,Placeholder,
,skx-347d,,,,,,,,
,skx-67-d ,,,,,,,,
,skx-89a,,,,,,,,
,sma-nea,,,,,,,,
reb.27.1-2,smn-arct,Beaked redfish  (Sebastes mentella) in subareas 1 and 2 (Northeast Arctic),x,Beaked redfish ,3,3.3.8,redfish beaked,,
reb.27.5a14,smn-con,"Beaked redfish (Sebastes mentella) in Subarea 14 and Division 5.a, Icelandic slope stock (East of Greenland, Iceland grounds)",x,Beaked redfish ,2,2.3.11,redfish beaked,,
reb.2127.1-261214,smn-dp,"Beaked redfish (Sebastes mentella) in ICES subareas 6, 12, and 14 (Iceland and Faroes grounds, North of Azores, East of Greenland) and NAFO subareas 1 and 2 (deep pelagic stock > 500 m) ",,Beaked redfish ,2,2.3.12,redfish beaked,Placeholder,
reb.27.14b,smn-grl,"Beaked redfish (Sebastes mentella) in Division 14.b, demersal (Southeast Greenland)",x,Beaked redfish ,2,2.3.10,redfish beaked,,add superheader above redfish section
reb.2127.51214,smn-sp,"Beaked redfish (Sebastes mentella) in ICES subareas 5, 12, and 14 (Iceland and Faroes grounds, North of Azores, East of Greenland) and NAFO subareas 1 and 2 (shallow pelagic stock < 500 m)",,Beaked redfish ,2,2.3.9,redfish beaked,Placeholder,
reg.27.561214,smr-5614,"Golden redfish (Sebastes norvegicus) in subareas 5, 6, 12, and 14 (Iceland and Faroes grounds, West of Scotland, North of Azores, East of Greenland)",x,Golden redfish,2,2.3.13,redfish golden,,
reg.27.1-2,smr-arct,Golden redfish (Sebastes norvegicus) in subareas 1 and 2 (Northeast Arctic),,Golden redfish,3,3.3.9,redfish golden,Placeholder,
bss.27.4bc7d?h,bss-47,"Seabass (Dicentrarchus labrax) in divisions 4.b?c, 7.a, and 7.d?h (central and southern North Sea, Irish Sea, English Channel, Bristol Channel, and Celtic Sea)",x,Seabass,5,5.3.57,seabass,,
bss.27.6a7bj,bss-wosi,"Seabass (Dicentrarchus labrax) in divisions 6.a, 7.b, and 7.j (West of Scotland,  West of Ireland, eastern part of southwest of Ireland)",x,Seabass,5,5.3.58,seabass,,
bss.27.8ab,Bss-8ab,Seabass (Dicentrarchus labrax) in divisions 8.a?b (northern and central Bay of Biscay),x,Seabass,7,7.3.35,seabass,,
bss.27.8c9a,Bss-8c9a,Seabass (Dicentrarchus labrax) in divisions 8.c and 9.a (southern Bay of Biscay and Atlantic Iberian waters),x,Seabass,7,7.3.36,seabass,,
sol.27.7bc,sol-7b-c,Sole (Solea solea) in divisions 7.b and 7.c (West of Ireland),x,Sole,5,5.3.60,sole,,
sol.27.7d,sol-eche,Sole (Solea solea) in Division 7.d (eastern English Channel) ,x,Sole,6,6.3.47,sole,,
sol.27.7e,sol-echw,Sole (Solea solea) in Division 7.e (western English Channel),x,Sole,6,6.3.48,sole,,
sol.27.7h?k,sol-7h-k,"Sole (Solea solea) in divisions 7.h?k (Celtic Sea South, southwest of Ireland)",x,Sole,5,5.3.62,sole,,
sol.27.20-24,sol-kask,"Sole (Solea solea) in subdivisions 20?24 (Skagerrak and Kattegat, western Baltic Sea)",x,Sole,6,6.3.46,sole,,
sol.27.4,sol-nsea,Sole (Solea solea) in Subarea 4 (North Sea),x,Sole,6,6.3.49,sole,,
trs.27.22-32,trt-bal,Sea trout (Salmo trutta) in subdivisions 22?32 (Baltic Sea),x,Sea trout,8,8.3.17,sea trout,,
sol.27.7fg,sol-celt,"Sole (Solea solea) in divisions 7.f and 7.g (Bristol Channel, Celtic Sea)",x,Sole,5,5.3.61,sole,,
sol.27.7a,sol-iris,Sole (Solea solea) in Division 7.a (Irish Sea),,Sole,5,5.3.59,sole,Placeholder,
spr.27.3a,spr-kask,Sprat (Sprattus sprattus) in Division 3.a (Skagerrak and Kattegat),x,Sprat,6,6.3.50,sprat,,
spr.27.4,spr-nsea,Sprat (Sprattus sprattus) in Subarea 4 (North Sea),x,Sprat,6,6.3.51,sprat,,
mur.27.3a47d,mur-347d,"Striped red mullet (Mullus surmuletus) in Subarea 4 and divisions 7.d and 3.a (North Sea, eastern English Channel, Skagerrak and Kattegat)",x,Striped red mullet,6,6.3.52,striped red mullet,,
sol.27.8c9a,sol-8c9a,Sole (Solea spp.) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters),x,Sole,7,7.3.38,sole,,
sol.27.8ab,sol-bisc,Sole (Solea solea) in divisions 8.a?b (northern and central Bay of Biscay),x,Sole,7,7.3.37,sole,,
spr.27.67a?cf?k,spr-celt,"Sprat (Sprattus sprattus) in Subarea 6 and divisions 7.a?c and 7.f?k (West of Scotland, southern Celtic Seas)",x,Sprat,5,5.3.64,sprat,,
spr.27.7de,spr-ech,Sprat (Sprattus sprattus) in divisions 7.d and 7.e (English Channel),x,Sprat,5,5.3.63,sprat,,
sbr.27.6-8,sbr-678,"Blackspot seabream (Pagellus bogaraveo) in subareas 6?8 (Celtic Seas, the English Channel, and Bay of Biscay)",,Blackspot seabream,9,9.3.43,red seabream,Placeholder,
sbr.27.9,sbr-ix,Blackspot seabream (Pagellus bogaraveo) in Subarea 9 (Atlantic Iberian waters),,Blackspot seabream,9,9.3.41,red seabream,Placeholder,
spr.27.22?32,spr-2232,Sprat (Sprattus sprattus) in subdivisions 22?32 (Baltic Sea),x,Sprat,8,8.3.18,sprat,,
sbr.27.10,sbr-x,Blackspot seabream (Pagellus bogaraveo) in Subarea 10 (Azores grounds),,Blackspot seabream,9,9.3.42,red seabream,Placeholder,
tur.27.22?32,tur-2232,Turbot (Scophthalmus maximus) in subdivisions 22?32 (Baltic Sea),x,Turbot,8,8.3.19,turbot,,
tur.27.3a,tur-kask,Turbot (Scophthalmus maximus) in Division 3.a (Skagerrak and Kattegat),x,Turbot,6,6.3.53,turbot,,
tur.27.4,tur-nsea,Turbot (Scophthalmus maximus) in Subarea 4 (North Sea),x,Turbot,6,6.3.54,turbot,,
mur.27.67a-ce-k89a,mur-west,"Striped red mullet (Mullus surmuletus) in subareas 6 and 8, and in divisions 7.a?c, 7.e?k, and 9.a (North Sea, Bay of Biscay, southern Celtic Seas, and Atlantic Iberian waters)",x,Striped red mullet,9,9.3.44,striped red mullet,,
usk.27.1-2,usk-arct,Tusk (Brosme brosme) in subareas 1 and 2 (Northeast Arctic),x,Tusk,9,9.3.48,tusk,,
usk.27.5a14,usk-icel,"Tusk (Brosme brosme) in Subarea 14 and Division 5.a (East Greenland, and Iceland grounds)",x,Tusk,9,9.3.47,tusk,,
usk.27.12a,usk-mar,"Tusk (Brosme brosme) in Subarea 12, excluding Division 12.b (southern Mid-Atlantic Ridge)",x,Tusk,9,9.3.46,tusk,,
usk.27.3a45b6a7-912b,usk-oth,"Tusk (Brosme brosme) in subareas 4 and 7?9, and in divisions 3.a, 5.b, 6.a, and 12.b (Northeast Atlantic)",x,Tusk,9,9.3.49,tusk,,
usk.27.6b,usk-rock,Tusk (Brosme brosme) in Division 6.b (Rockall),x,Tusk,9,9.3.45,tusk,,
whg.27.47d,whg-47d,Whiting (Merlangius merlangus) in Subareaÿ4 and Divisionÿ7.dÿ(NorthÿSea and easternÿEnglish Channel),x,Whiting,6,6.3.56,whiting,,
whg.27.7b-ce-k,whg-7e-k,Whiting (Merlangius merlangus) in divisions 7.b ?c and 7.e?k (southern Celtic Seas and eastern English Channel),x,Whiting,5,5.3.68,whiting,,
whg.27.89a,whg-89a,Whiting (Merlangius merlangus) in Subarea 8 and Division 9.a (Bay of Biscay and Atlantic Iberian waters),x,Whiting,7,7.3.39,whiting,,
whg.27.7a,whg-iris,Whiting (Merlangius merlangus) in Division 7.a (Irish Sea),x,Whiting,5,5.3.67,whiting,,
whg.27.3a,whg-kask,Whiting (Merlangius merlangus) in Division 3.a (Skagerrak and Kattegat),x,Whiting,6,6.3.55,whiting,,
whg.27.6b,whg-rock,Whiting (Merlangius merlangus) in Division 6.b (Rockall),,Whiting,5,5.3.66,whiting,Placeholder,
whg.27.6a,whg-scow,Whiting (Merlangius merlangus) in Division 6.a (West of Scotland),,Whiting,5,5.3.65,whiting,Placeholder,
wit.27.3a47d,wit-nsea,"Witch (Glyptocephalus cynoglossus) in Subarea 4 and divisions 3.a and 7.d (North Sea, Skagerrak and Kattegat, eastern English Channel)",x,Witch,6,6.3.57,witch,,
